value;label;causa;causa_id
325;D68   Outr defeitos da coagulacao;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
326;D69   Purpura e outr afeccoes hemorragicas;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
327;D70   Agranulocitose;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
328;D71   Transt func neutrofilos polimorfonucleares;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
329;D72   Outr transt dos globulos brancos;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
330;D73   Doenc do baco;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
331;D74   Metemoglobinemia;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
332;D75   Outr doenc sangue e orgaos hematopoeticos;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
333;D76   Alg doenc q env tec linforr e sist reticuloh;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
334;D77   Outr transt sangue e org hematop doenc COP;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
503;G10   Doenc de Huntington;Outras doenças do sistema nervoso;9
504;G11   Ataxia hereditaria;Outras doenças do sistema nervoso;9
505;G12   Atrofia muscular espinal e sindr correlatas;Outras doenças do sistema nervoso;9
506;G13   Atrof sist q afet sist nerv centr doen COP;Outras doenças do sistema nervoso;9
508;G21   Parkinsonismo secund;Outras doenças do sistema nervoso;9
509;G22   Parkinsonismo em doenc COP;Outras doenças do sistema nervoso;9
510;G23   Outr doenc degenerativas dos ganglios base;Outras doenças do sistema nervoso;9
511;G24   Distonia;Outras doenças do sistema nervoso;9
512;G25   Outr doenc extrapiramidais transt movimentos;Outras doenças do sistema nervoso;9
513;G26   Doenc extrapiramidais transt movim doenc COP;Outras doenças do sistema nervoso;9
515;G31   Outr doenc degenerativas sist nervoso NCOP;Outras doenças do sistema nervoso;9
516;G32   Outr transt degenerativ sist nerv doenc COP;Outras doenças do sistema nervoso;9
518;G36   Outr desmielinizacoes disseminadas agudas;Outras doenças do sistema nervoso;9
519;G37   Outr doenc desmielinizantes sist nerv centr;Outras doenças do sistema nervoso;9
525;G46   Sindr vasc cerebr q ocorr doenc cerebrovasc;Outras doenças do sistema nervoso;9
526;G47   Disturbios do sono;Outras doenças do sistema nervoso;9
537;G60   Neuropatia hereditaria e idiopatica;Outras doenças do sistema nervoso;9
538;G61   Polineuropatia inflam;Outras doenças do sistema nervoso;9
539;G62   Outr polineuropatias;Outras doenças do sistema nervoso;9
540;G63   Polineuropatia em doenc COP;Outras doenças do sistema nervoso;9
541;G64   Outr transt do sist nervoso periferico;Outras doenças do sistema nervoso;9
542;G70   Miastenia gravis outr transt neuromusculares;Outras doenças do sistema nervoso;9
543;G71   Transt prim dos musculos;Outras doenças do sistema nervoso;9
544;G72   Outr miopatias;Outras doenças do sistema nervoso;9
545;G73   Transt juncao mioneural musculos doenc COP;Outras doenças do sistema nervoso;9
550;G90   Transt do sist nervoso autonomo;Outras doenças do sistema nervoso;9
551;G91   Hidrocefalia;Outras doenças do sistema nervoso;9
552;G92   Encefalopatia toxica;Outras doenças do sistema nervoso;9
553;G93   Outr transt do encefalo;Outras doenças do sistema nervoso;9
554;G94   Outr transt do encefalo em doenc COP;Outras doenças do sistema nervoso;9
555;G95   Outr doenc da medula espinal;Outras doenças do sistema nervoso;9
556;G96   Outr transt do sist nervoso central;Outras doenças do sistema nervoso;9
557;G97   Transt pos-proced do sist nervoso NCOP;Outras doenças do sistema nervoso;9
558;G98   Outr transt do sist nervoso NCOP;Outras doenças do sistema nervoso;9
559;G99   Outr transt do sist nervoso em doenc COP;Outras doenças do sistema nervoso;9
1010;N17   Insuf renal aguda;Insuficiência renal;10
1011;N18   Insuf renal cronica;Insuficiência renal;10
1012;N19   Insuf renal NE;Insuficiência renal;10
335;D80   Imunodefic c/predom defeitos anticorpos;Alguns transtornos envolvendo o mecanismo imunitário;11
336;D81   Defic imunitarias combinadas;Alguns transtornos envolvendo o mecanismo imunitário;11
337;D82   Imunodeficiencia assoc c/outr defeitos major;Alguns transtornos envolvendo o mecanismo imunitário;11
338;D83   Imunodeficiencia comum variavel;Alguns transtornos envolvendo o mecanismo imunitário;11
339;D84   Outr imunodeficiencias;Alguns transtornos envolvendo o mecanismo imunitário;11
340;D86   Sarcoidose;Alguns transtornos envolvendo o mecanismo imunitário;11
341;D89   Outr transt q comprom mecanismo imunit NCOP;Alguns transtornos envolvendo o mecanismo imunitário;11
694;I80   Flebite e tromboflebite;Flebite, tromboflebite, embolia e trombose venosa;12
695;I81   Trombose da veia porta;Flebite, tromboflebite, embolia e trombose venosa;12
696;I82   Outr embolia e trombose venosas;Flebite, tromboflebite, embolia e trombose venosa;12
